"","code_muni","ICB","populacao","qtd_empresas","area","disponibilidades","op_cred","emprestimos","fin","fin_agricultura_inv","fin_pecuaria_inv","fin_agricultura_com","fin_pecuaria_com","fin_agroindustrial","fin_imobiliarios","outras_op_cred","outros_cred","arr_mercantial","provisao_arr_mercantil","provisao_de_credito","ativos","depositos","poupanca","depositos_inter","relacoes_interfinanceiras","resultado","PLP","PLB","ICO","densidade_demografica","densidade_empresarial"
"22","1100304",0.522920264876088,670824,1.61198798268624e-319,81893,10158860,1137436778,623,590523837,1553949,32367254,-21569006,0,0,0,0,2065567248,213725431,0,114704364,1120,1363594225,0,0,130605950,0,1,1.19883078459768,0.561278003607216,8.19146935635524,0
"23","1100320",0.715272947396704,64905,9.44159449202622e-321,22380,2873668,406782894,0,29482910,28246,8215506,-2032498,0,0,0,0,529009781,22453893,0,25441249,0,399106777,0,0,27209793,0,1,0.981129695684794,0.815932889787634,2.90013404825737,0
"24","1100338",0.975084148534495,76332,8.92282556389291e-321,30210,2552046,530282186,0,13336293,0,8039045,-3266001,0,0,0,0,619099709,5074479,0,12921124,0,527418294,0,0,29580533,0,1,0.994599305661005,0.929787146893251,2.52671300893744,0
"25","1100346",1,13117,2.33198984837068e-321,3029,1476226,210857717,0,749781,0,5843119,0,0,0,0,0,259767392,2084362,0,3805768,0,217914152,0,0,12875138,0,1,1.03346538651938,0.936938303498905,4.33047210300429,0
"26","1100379",NA,11479,1.52172218919104e-321,3958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.90020212228398,0
"27","1100403",0.899419940147279,48960,6.53648849447969e-321,7956,3425741,407089530,0,30374740,95661,4913053,-1538105,0,0,0,0,462448143,4653082,0,6106014,1000,389797613,0,0,19530099,0,1,0.957523061327566,0.856071886168498,6.15384615384615,0
"28","1100452",0.859402208460233,83976,1.3858541365847e-320,9798,2508635,390398213,0,877222,0,7041851,0,0,0,0,0,460670583,9129095,0,12627185,0,390210665,0,0,18772519,0,1,0.999519598210866,0.930486132806027,8.57072872014697,0
"29","1100502",NA,7667,9.73309322307256e-322,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.09489916963227,0
"30","1100601",NA,4150,8.15208315638057e-322,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.11518858307849,0
"31","1100700",NA,8844,1.09682573376757e-321,3442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.56943637420105,0
"32","1100809",0.997510703046488,44620,7.24300236803267e-321,13688,2111152,193195082,0,16279467,77216,3830499,-1706543,0,0,0,0,247050404,3160143,0,8368280,1290,203339620,0,0,11029024,0,1,1.05250929731224,0.849456890308113,3.25978959672706,0
"33","1100908",NA,3233,5.13828271674896e-322,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3.62038073908175,0
"34","1100924",NA,9324,2.08001636899165e-321,5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.81860737273259,0
"35","1100940",1,14863,2.49009085503988e-321,3864,767616,1189580,0,0,0,13624,0,0,0,0,0,9022778,1841650,0,1722008,0,0,0,0,1019593,0,0,0,0.716647839958003,3.84653209109731,0
"36","1101005",NA,8001,8.64614880222181e-322,5067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.57904085257549,0
"37","1101104",NA,8548,1.95155930107292e-321,4082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.09407153356198,0
"38","1101203",1,6466,8.79436849597419e-322,798,1752943,160436237,0,320170,0,2697493,0,0,0,0,0,180088717,2600545,0,3491988,0,152591324,0,0,7465843,0,1,0.951102611562748,0.940819134113093,8.10275689223058,0
"39","1101302",1,9235,1.24010477106153e-321,1192,1156422,327290317,0,250103,0,4114092,0,0,0,0,0,363475544,738795,0,7839059,0,311386534,0,0,13081672,0,1,0.951407719159623,0.972630645548588,7.74748322147651,0
"40","1101401",0.949670798404862,23096,3.5276287113065e-321,3862,1644249,383821241,0,731980,0,4492106,0,0,0,0,0,417498160,6188424,0,9115346,0,360207897,0,0,13820206,0,1,0.938478277183206,0.947812512784437,5.98032107716209,0
"41","1101435",NA,6200,5.78056805634258e-322,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7.68277571251549,0
"42","1101450",NA,4125,8.49792910846944e-322,2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.61828167908984,0
"43","1101468",NA,2156,8.64614880222181e-322,6015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.358437240232751,0
"44","1101476",NA,3076,4.69362363549184e-322,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5.07590759075908,0
"45","1101484",NA,5258,6.6204796542727e-322,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.70110701107011,0
"46","1101492",0.977671504389232,32572,7.46039125220282e-321,21898,1863377,103250590,0,192591,0,3025580,0,0,0,0,0,130310891,2761323,0,4322786,0,103505746,0,0,6770986,0,1,1.00247123043074,0.915083782665632,1.48744177550461,0
"47","1101500",NA,11171,1.49207825044056e-321,3774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.95998940116587,0
"48","1101559",NA,4256,5.18768928133309e-322,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9.25217391304348,0
"49","1101609",NA,8113,1.01283457397456e-321,2197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3.69276285844333,0
"50","1101708",1,10725,1.28457067918724e-321,832,1040105,208925840,0,848954,0,2805471,0,0,0,0,0,230166463,534693,0,3477067,0,200221867,0,0,7929844,0,1,0.958339413640744,0.964731047995464,12.890625,0
"51","1101757",NA,7788,9.73309322307256e-322,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.48421052631579,0
"52","1101807",NA,6479,7.36157812303457e-322,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6.70703933747412,0
"53","1200013",1,14021,1.5069002198158e-321,1812,1256965,134172748,0,523716,0,4139420,0,0,0,0,0,171352943,3150465,0,7532915,0,134670921,0,0,8921293,0,1,1.00371292238868,0.915531776872289,7.7378587196468,0
"54","1200054",1,16200,2.70747973921003e-321,9958,3841520,1474047,0,16810988,122831,0,-4523307,0,0,0,0,46048873,2870884,0,3112138,1270,160594,0,0,7584094,0,1,0.108947679415921,0.646521020142846,1.62683269732878,0
"55","1200104",0.678403966706511,78000,1.32063747133365e-320,11784,5045357,114927581,0,641810,0,6830417,0,0,0,0,0,186408507,6931092,0,20376846,0,118798599,0,0,11155086,0,1,1.03368223681659,0.864052114563134,6.61914460285132,0
"56","1200138",1,12917,7.95445689804407e-322,3035,758424,214281,0,22325677,0,0,-1823359,0,0,0,0,14897861,59677,0,603898,690,86979,0,0,3539053,0,1,0.405910930040461,0.575560296371483,4.25601317957166,0
"57","1200179",NA,10392,6.4228533959362e-322,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6.09144196951934,0
"58","1200203",0.488923439722692,459440,8.68814438211832e-320,43915,21077730,27342171,6,92155332,733032,46159944,-13448087,0,0,0,0,622962884,60419678,0,74542211,1220,162747639,0,0,71274492,0,1,5.9522573756122,0.615075387099266,10.4620289195036,0
"59","1200252",1,18757,2.10471965128371e-321,1653,3780845,82876370,2,383576,0,11384978,0,0,0,0,0,166004639,14372463,0,22794630,0,74623289,0,0,12173957,0,1,0.900416958416494,0.75552295653571,11.3472474289171,0
"60","1200302",0.872377781442217,70852,6.36356551843526e-321,55954,3867687,8417945,0,17190667,137536,9516,-1810499,0,0,0,0,38568772,1203199,0,7375011,100,63855,0,0,5498028,0,1,0.00758558056627835,0.584634891948636,1.26625442327626,0
"61","1200328",NA,9222,2.96439387504748e-322,5357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.72148590629083,0
"62","1200336",NA,19294,6.72423343989937e-321,5452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3.53888481291269,0
